,player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,matches
0,Max Aarons,eng,DF,Bournemouth,23,2000,13.7,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3,Matches
1,Joshua Acheampong,eng,DF,Chelsea,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
2,Tyler Adams,us,MF,Bournemouth,24,1999,1.3,0,0,0,0,3,0,1,4,3,0,0,0,7,2,3,40.0,Matches
3,Tosin Adarabioyo,eng,DF,Fulham,25,1997,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7,Matches
4,Elijah Adebayo,eng,FW,Luton Town,25,1998,15.8,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0,Matches
5,Simon Adingra,ci,FW,Brighton,21,2002,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0,Matches
6,Nayef Aguerd,ma,DF,West Ham,27,1996,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0,Matches
7,Brandon Aguilera,cr,FW,Nott'ham Forest,20,2003,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,Matches
8,Naouirou Ahamada,fr,"MF,FW",Crystal Palace,21,2002,3.9,4,1,1,9,6,1,6,2,9,0,0,0,30,3,3,50.0,Matches
9,Anel Ahmedhodžić,ba,DF,Sheffield Utd,24,1999,29.4,11,1,1,34,13,2,6,35,36,0,0,0,107,51,37,58.0,Matches
10,Ola Aina,ng,DF,Nott'ham Forest,26,1996,18.8,3,0,0,18,25,2,28,18,31,0,1,0,97,16,12,57.1,Matches
11,Rayan Aït-Nouri,dz,"DF,MF",Wolves,22,2001,25.9,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7,Matches
12,Kristoffer Ajer,no,DF,Brentford,25,1998,20.4,5,0,0,25,10,1,22,25,21,0,0,0,60,63,23,73.3,Matches
13,Manuel Akanji,ch,"DF,MF",Manchester City,28,1995,27.9,4,1,1,17,19,0,9,23,28,0,0,0,142,27,27,50.0,Matches
14,Nathan Aké,nl,DF,Manchester City,28,1995,22.7,0,0,0,10,18,0,11,14,16,0,0,0,119,46,28,62.2,Matches
15,Thiago Alcántara,es,MF,Liverpool,32,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
16,Trent Alexander-Arnold,eng,DF,Liverpool,24,1998,23.9,6,0,0,9,9,2,168,31,26,0,0,0,176,8,6,57.1,Matches
17,Alisson,br,GK,Liverpool,30,1992,28.0,1,0,0,1,5,0,0,0,0,0,0,0,36,6,2,75.0,Matches
18,Miguel Almirón,py,FW,Newcastle Utd,29,1994,21.5,2,0,0,16,22,10,24,10,24,0,0,0,97,6,7,46.2,Matches
19,Edson Álvarez,mx,MF,West Ham,25,1997,26.4,11,0,0,33,15,1,4,42,39,0,1,0,164,30,34,46.9,Matches
20,Julián Álvarez,ar,"MF,FW",Manchester City,23,2000,29.4,2,0,0,23,13,2,137,2,13,2,0,0,98,4,24,14.3,Matches
21,Zeki Amdouni,ch,FW,Burnley,22,2000,21.7,2,0,0,22,39,2,8,9,18,1,0,0,79,15,56,21.1,Matches
22,Sofyan Amrabat,ma,"MF,DF",Manchester Utd,26,1996,10.4,6,0,0,24,10,0,7,8,16,0,0,0,60,5,6,45.5,Matches
23,Joachim Andersen,dk,DF,Crystal Palace,27,1996,37.9,7,0,0,43,23,1,31,41,35,0,0,0,193,89,46,65.9,Matches
