,player,nationality,position,team,age,birth_year,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches
0,Alisson,br,GK,Liverpool,30,1992,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0,Matches
1,Alphonse Areola,fr,GK,West Ham,30,1993,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6,Matches
2,Daniel Bentley,eng,GK,Wolves,30,1993,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,,Matches
3,Martin Dúbravka,sk,GK,Newcastle Utd,34,1989,42,1.90,130,87,70.8,9,4,9,5,22.7,5,4,1,0,20.0,Matches
4,Ederson,br,GK,Manchester City,29,1993,27,0.87,82,56,70.7,24,6,3,10,30.3,3,3,0,0,0.0,Matches
5,Łukasz Fabiański,pl,GK,West Ham,38,1985,21,2.62,53,33,66.0,3,1,3,1,14.3,3,3,0,0,0.0,Matches
6,Mark Flekken,nl,GK,Brentford,30,1993,63,1.73,176,113,65.3,10,9,18,7,18.9,2,2,0,0,0.0,Matches
7,Wes Foderingham,eng,GK,Sheffield Utd,32,1991,79,2.68,204,130,63.7,3,4,22,1,3.4,6,5,0,1,0.0,Matches
8,Ivo Grbić,hr,GK,Sheffield Utd,27,1996,25,2.92,59,36,57.6,0,3,6,0,0.0,1,0,0,1,,Matches
9,Dean Henderson,eng,GK,Crystal Palace,26,1997,30,1.67,86,57,66.3,8,4,6,4,22.2,1,1,0,0,0.0,Matches
10,Sam Johnstone,eng,GK,Crystal Palace,30,1993,27,1.35,67,41,62.7,5,6,9,6,30.0,2,2,0,0,0.0,Matches
11,Thomas Kaminski,be,GK,Luton Town,30,1992,85,2.25,221,140,63.3,6,8,24,2,5.3,4,4,0,0,0.0,Matches
12,Loris Karius,de,GK,Newcastle Utd,30,1993,4,4.00,7,4,42.9,0,0,1,0,0.0,0,0,0,0,,Matches
13,Caoimhín Kelleher,ie,GK,Liverpool,24,1998,11,1.10,38,28,71.1,8,2,0,2,20.0,0,0,0,0,,Matches
14,Bernd Leno,de,GK,Fulham,31,1992,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0.0,Matches
15,Emiliano Martínez,ar,GK,Aston Villa,30,1992,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0.0,Matches
