,player,nationality,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,matches
0,Max Aarons,eng,DF,Bournemouth,23,2000,20,"1,237",62,36.2,13.7,13,85,9,7,19,5,0.80,12,34,-22,-1.60,-1.97,14.2,27.1,-12.8,-0.94,-1.37,Matches
1,Joshua Acheampong,eng,DF,Chelsea,17,2006,1,6,6,0.2,0.1,0,,0,1,6,3,3.00,0,0,0,0.00,-0.37,0.0,0.6,-0.5,-7.70,-8.15,Matches
2,Tyler Adams,us,MF,Bournemouth,24,1999,3,121,40,3.5,1.3,1,90,1,2,16,2,2.00,4,3,+1,+0.74,+1.13,2.1,1.5,+0.6,+0.43,+0.51,Matches
3,Tosin Adarabioyo,eng,DF,Fulham,25,1997,20,"1,617",81,47.3,18.0,18,90,17,2,2,2,1.40,28,25,+3,+0.17,+0.62,27.6,28.0,-0.5,-0.03,+0.56,Matches
4,Tayo Adaramola,ie,DF,Crystal Palace,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
5,Elijah Adebayo,eng,FW,Luton Town,25,1998,27,"1,419",53,41.5,15.8,16,77,5,11,16,0,0.78,30,36,-6,-0.38,+0.83,22.2,28.4,-6.3,-0.40,+0.92,Matches
6,Val Adedokun,ie,FW,Brentford,20,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
7,Simon Adingra,ci,FW,Brighton,21,2002,31,"2,222",72,65.0,24.7,25,83,10,6,26,1,1.19,34,38,-4,-0.16,+0.06,33.9,35.9,-2.0,-0.08,-0.34,Matches
8,Adrián,es,GK,Liverpool,36,1987,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
9,Nayef Aguerd,ma,DF,West Ham,27,1996,21,"1,857",88,54.3,20.6,21,88,19,0,,4,1.19,26,44,-18,-0.87,-1.10,25.0,38.2,-13.2,-0.64,-0.32,Matches
10,Brandon Aguilera,cr,FW,Nott'ham Forest,20,2003,1,5,5,0.1,0.1,0,,0,1,5,3,0.00,0,0,0,0.00,+0.47,0.0,0.0,0.0,0.00,+0.09,Matches
11,Naouirou Ahamada,fr,"MF,FW",Crystal Palace,21,2002,20,349,17,10.2,3.9,0,,0,20,17,14,0.85,13,14,-1,-0.26,-0.26,10.0,8.6,+1.4,+0.35,+0.49,Matches
12,Anel Ahmedhodžić,ba,DF,Sheffield Utd,24,1999,31,"2,649",85,77.5,29.4,29,89,27,2,34,0,0.35,28,89,-61,-2.07,-1.14,31.9,61.5,-29.6,-1.01,+0.01,Matches
13,Ola Aina,ng,DF,Nott'ham Forest,26,1996,22,"1,692",77,49.5,18.8,20,84,9,2,5,3,1.00,27,39,-12,-0.64,-0.33,23.3,28.6,-5.3,-0.28,-0.39,Matches
14,Rayan Aït-Nouri,dz,"DF,MF",Wolves,22,2001,33,"2,329",71,68.1,25.9,29,76,10,4,30,0,1.21,36,43,-7,-0.27,+0.39,32.8,45.5,-12.7,-0.49,+0.19,Matches
15,Kristoffer Ajer,no,DF,Brentford,25,1998,28,"1,832",65,53.6,20.4,21,84,13,7,11,1,1.14,28,33,-5,-0.25,-0.02,32.5,29.6,+2.9,+0.14,+0.18,Matches
16,Manuel Akanji,ch,"DF,MF",Manchester City,28,1995,30,"2,511",84,73.4,27.9,28,88,25,2,23,4,2.40,72,23,+49,+1.76,+0.47,57.1,26.8,+30.4,+1.09,-0.35,Matches
17,Nathan Aké,nl,DF,Manchester City,28,1995,29,"2,042",70,59.7,22.7,24,83,19,5,12,6,2.38,55,20,+35,+1.54,-0.22,43.8,21.6,+22.2,+0.98,-0.51,Matches
18,Thiago Alcántara,es,MF,Liverpool,32,1991,1,6,6,0.2,0.1,0,,0,1,6,0,0.00,0,1,-1,-15.00,-16.21,0.0,0.0,0.0,-0.62,-1.73,Matches
19,Trent Alexander-Arnold,eng,DF,Liverpool,24,1998,28,"2,155",77,63.0,23.9,25,83,14,3,28,0,2.00,53,28,+25,+1.04,-0.38,54.5,28.5,+26.0,+1.09,-0.05,Matches
20,Alisson,br,GK,Liverpool,30,1992,28,"2,520",90,73.7,28.0,28,90,28,0,,0,2.00,60,30,+30,+1.07,-0.43,62.1,35.4,+26.7,+0.95,-0.58,Matches
