,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
0,Max Aarons,eng,DF,Bournemouth,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,Matches
1,Joshua Acheampong,eng,DF,Chelsea,17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Matches
2,Tyler Adams,us,MF,Bournemouth,24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,Matches
3,Tosin Adarabioyo,eng,DF,Fulham,25,1997,18.0,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,Matches
4,Elijah Adebayo,eng,FW,Luton Town,25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5,Matches
5,Simon Adingra,ci,FW,Brighton,21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,Matches
6,Nayef Aguerd,ma,DF,West Ham,27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,Matches
7,Brandon Aguilera,cr,FW,Nott'ham Forest,20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
8,Naouirou Ahamada,fr,"MF,FW",Crystal Palace,21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8,Matches
9,Anel Ahmedhodžić,ba,DF,Sheffield Utd,24,1999,29.4,988,950,36,11,1,2,6,25,0,0,0,0,745,2,20,Matches
10,Ola Aina,ng,DF,Nott'ham Forest,26,1996,18.8,802,649,150,12,2,2,28,138,0,0,0,0,603,3,17,Matches
11,Rayan Aït-Nouri,dz,"DF,MF",Wolves,22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24,Matches
12,Kristoffer Ajer,no,DF,Brentford,25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11,Matches
13,Manuel Akanji,ch,"DF,MF",Manchester City,28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10,Matches
14,Nathan Aké,nl,DF,Manchester City,28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14,Matches
15,Thiago Alcántara,es,MF,Liverpool,32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0,Matches
16,Trent Alexander-Arnold,eng,DF,Liverpool,24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23,Matches
17,Alisson,br,GK,Liverpool,30,1992,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3,Matches
18,Miguel Almirón,py,FW,Newcastle Utd,29,1994,21.5,801,788,10,2,5,0,24,7,1,0,0,0,668,3,16,Matches
19,Edson Álvarez,mx,MF,West Ham,25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14,Matches
20,Julián Álvarez,ar,"MF,FW",Manchester City,23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27,Matches
21,Zeki Amdouni,ch,FW,Burnley,22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19,Matches
22,Sofyan Amrabat,ma,"MF,DF",Manchester Utd,26,1996,10.4,664,642,21,10,0,8,7,11,0,0,0,0,578,1,10,Matches
23,Joachim Andersen,dk,DF,Crystal Palace,27,1996,37.9,2209,2073,121,110,7,31,31,8,0,0,0,0,1731,15,22,Matches
24,Elliot Anderson,eng,"MF,FW",Newcastle Utd,20,2002,11.4,460,431,29,3,4,1,19,25,1,0,0,0,370,0,9,Matches
25,Jaidon Anthony,eng,FW,Bournemouth,23,1999,1.7,45,42,3,2,0,0,2,0,1,0,0,0,30,0,3,Matches
26,Michail Antonio,jm,FW,West Ham,33,1990,18.8,308,288,18,1,3,4,27,11,0,0,0,0,180,2,22,Matches
27,Antony,br,FW,Manchester Utd,23,2000,14.7,595,570,22,7,3,1,16,15,0,0,0,0,468,3,23,Matches
28,Oliver Arblaster,eng,MF,Sheffield Utd,19,2004,10.5,438,406,29,13,0,2,7,0,6,3,0,0,349,3,8,Matches
29,Cameron Archer,eng,"FW,MF",Sheffield Utd,22,2001,20.4,332,310,22,0,2,1,5,0,0,0,0,0,266,0,15,Matches
